Text,Emotion
im here today after looking at my bank account this morning and feeling shocked,surprise
i feel weird if i just do completely nothing,surprise
i feel very weird about so much of my psychological safety coming from noah providing money,surprise
i wanted to follow a set of food rules and feel amazing or party hard and suffer the consequences,surprise
i just feel overwhelmed thinking about it,surprise
i drove to pay her for the snack she was looking at me wearily and i was feeling dazed by what just had happened and felt a confidence that is unusual and rare,surprise
i am overly passionate but i love music for how it makes me feel i connect with the songs and the artists and i am amazed and truly in awe of those that can write a song that touches me,surprise
i asked the girls i was with if it was just me or if their eyes were feeling weird also,surprise
i am feeling rather overwhelmed with all that is on my to do list,surprise
i myself smiling through loving simple dialog child logic explain situation feelings it s funny,surprise
i often sat back and feel amazed when the episode was over,surprise
i also feel amazed happy fortunate and extremely blessed,surprise
i woke up feeling dazed and confused,surprise
i pick up the cards i feel a shiver go up my spine and i just feel so curious,surprise
i feel overwhelmed and i want to forget it all,surprise
i typically do not engage the children on my walks in this manner but today i m feeling a little curious and more silly than usual so i persist with my question,surprise
i feel strange with the judge passing sentence in such a manner,surprise
i have talked about it too much i feel here is a video if you are curious,surprise
i forgot my passport and i realize that my stomach was feeling funny until i went to the washroom and understand that i was actually sick,surprise
i feel like i need to emphasize that because i was very impressed with the color of it,surprise
i feel like amazing co screenwriter roberto orcis bizarre adoration of dubya the pampered bush son was responsible for this shit even though it was carried over from the amazing spider man which orci didnt co write,surprise
i don t mean this to be a serious recollection of feelings only a funny in a not funny sort of way story so let s get back to where the action begins,surprise
i am also noticing that i can only handle so much incoming information or i start to feel overwhelmed,surprise
i feel a strange sense of legacy,surprise
i just remember feeling really dazed and amazed that it had all happened little did i know if you are about to have or have just had surgery then good luck i m sure i ve had the bad luck for everyone,surprise
i overly pc in feeling a little shocked,surprise
i feel your prick every night when you re dreaming about me and i she paused dramatically i am not impressed,surprise
i see what the ritalin culture is doing to the children and their flias i feel shocked,surprise
i volunteered for everything and wound up feeling overwhelmed and people got mad at me for not being able to meet my obligations,surprise
i sat there feeling so amazed that i actually found great joy in such simple things,surprise
i read the book and feel like i am travelling those journeys sometimes i am amazed sometimes i cry sometimes i laugh sometimes i yearn for what is written sometimes i remember my friends my family and the deceased and realise there is so much to do for them,surprise
i feel like im giving them a story to tell to their friends and family which is funny because growing up i anticipated to be the one to travel and spontaneously meet an erratic person that swoons me with their life stories,surprise
i ini i feel strange,surprise
i look back on that i feel amazed that at such a young age i could just pull it together like that,surprise
i can say that once again after the test drive we left feeling impressed by the cx and with steve and adams assistance,surprise
i came home still feeling stunned and in need of rest i received a call from a dear elderly cousin marie to say she called an ambulance for herself and would be going to the hospital,surprise
i still feel funny,surprise
im getting there but i really do feel dazed and confused at the moment,surprise
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,surprise
i feel amazed i can compress my difficulty so neatly into one sentence,surprise
i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,surprise
i do however feel that some people would not be so shocked right,surprise
i feel you might be quite amazed if ahead of you begin your diet program you continue to keep a a href http www,surprise
i feel like in spite of having so many amazing things to be thankful for life is just one big demanding wave after wave and i m being tossed around like a rag doll,surprise
i feel too overwhelmed to clean anything so i just let it all pile up until it makes my whole life feel like it is going to come crashing down around me and i am helpless to stop it,surprise
i feel that s the one thing i ve enjoyed about tv people have the time to be shocked over kenny powers and then you have time to let go of it and love him later on,surprise
i feel funny about mothers day,surprise
i think and feel its funny its sad its weird but more than any of that its the truth,surprise
i feel overwhelmed with the uncertainties of life the sorrows lurking about the fears eating at peoples peace the sad choices friends make the effects of those sad choices on loved ones broken relationships etc,surprise
i even feel weird living with lay people again,surprise
i feel weird,surprise
i will cry in front of my children and feel overwhelmed without a moment s notice,surprise
i feel like it s a boy i would be pretty shocked if it was so somewhere in there my gut or my brain is saying girl,surprise
i were saying that we were feeling overwhelmed with our life right now,surprise
i felt fine when we got there but after a short while i started feeling really funny,surprise
i find myself feeling surprised and totally unworthy whenever i see her face,surprise
i feel about my mommy amp me friends our friendships grew so naturally the strength of them surprised me,surprise
i am feeling quite overwhelmed,surprise
i care very little about impressing people unless its a person who i feel deserves being impressed,surprise
i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing,surprise
i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear,surprise
i remember feeling bowled over and surprised by my own reaction at the tears welling up,surprise
i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited,surprise
i only have three words to describe my feelings after viewing them im not impressed,surprise
i feel like i m trying to be that guy who hangs out with curious george,surprise
i feel about politics and i have been very shocked at myself for going into this realm though i think that it is at this time the most important considering everything that has been going on in the world stage and in the usa,surprise
i wish it was a more comforting feeling but instead it feels strange like living the memories of someone else or maybe having woken up from a long dream or a long sleep years and finding that the trees around you have grown taller,surprise
i heard a song on the radio yesterday that just made me feel amazed at the lyrics,surprise
i have a feeling that even if this was the only line up there jesse might make the hike all over again just to finish this amazing project,surprise
i feel like im in this weird in between stage,surprise
i sleep in a dreamy state waking up feeling dazed every now and then yet the cyber slut in me craves to creep up on here every evening,surprise
i could just picture it with it homely feel and also having the smell of books would just be totally amazing,surprise
i do feel so funny about myself because i seems to want to have good guy image although i have been keep saying wanna go clubbing but ended up did not even go once,surprise
i was feeling pretty impressed with my potential new boss,surprise
i feel curious to know more i think the procedure worked well,surprise
i feel many readers are amazed by the many ways the whitley family has influenced hollywood and continues to influence today,surprise
i know this isnt real but it feels strange to me at times,surprise
i feel all funny just thinking about it,surprise
i feel like if you can t admit that you ve always been a little bit weird or a little bit quirky it s just taking yourself too seriously,surprise
i feel curious about this one i think i might fall in love by uncle montagues tales of terror,surprise
i don t think anyone feels curious about masala movies they are just light entertainers,surprise
i didnt feel surprised i didnt feel upset i didnt feel angry i didnt feel anything,surprise
i remember feeling surprised and stunned that a writer of the stature and quality of lauren had read one of my books long ago,surprise
i was grateful for each and every one but it still made me feel funny,surprise
i beside see smiling feel very funny,surprise
i knows is the boy makes her feel weird and yuuki doesnt know what to tell her,surprise
i feel strange actually sitting beside some people i don t know,surprise
i feel stumped something comes out of my pen and im always a little amazed by this,surprise
i read through the ol feefyefo space i feel amazed at how much i could blabber and how transparent i was with my life,surprise
i wander into the depths of the markets because i m feeling curious,surprise
i was on the phone with tech support today and it turns out i have something in common with the guy on the phone we both have thoughts and feelings are are curious about this world,surprise
i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday,surprise
i feel is strange rel bookmark november a href http eagleandhammer,surprise
i feel curious reserved habits was nothing else,surprise
i feel amazed at the world,surprise
i feel like a strange antisocial creature difficult for the cooperation,surprise
i get the feeling he is telling peter many people will be surprised,surprise
i feel like all i ever do anymore on the internet is bitch about my kid but seriously im amazed that so many children survive toddlerhood,surprise
i don t know if i would enjoy those books now but i still remember feeling enthralled with those characters and with the amish lifestyle presented,surprise
i was feeling amazed because i didnt find myself that good as what they have commented,surprise
i feel curious excited and impatient,surprise
i am feeling insatiably curious and i want to read and learn more about digital media and social marketing,surprise
i have learned so much with him even now i still learn new things about rabbits i feel you always keep learning about them being amazed by them,surprise
im still feeling very incredibly overwhelmed with the entire situation,surprise
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,surprise
i woke up feeling amazed and then i realized that a dream is still a dream,surprise
i also came away injury free and feeling amazing throughout the entire race,surprise
i even feel surprised if its dark outside,surprise
ive gotten so used to them to the extent that im actually feeling weird without them,surprise
i feel pretty weird blogging about deodorant but im a bit of a deodorant snob and find it really hard to find a good one,surprise
i was talking to my district leader elder hill last night and was explaining to him some of my concerns such as not seeing the fruits of our efforts not having baptized anyone yet and just plain feeling like i have so many problems and weaknesses that its not even funny,surprise
i still blush and feel shocked about the recreational activities that i sometimes unwillingly and willingly hear sometimes,surprise
i feel lola falls under this strange demographic,surprise
i have chose for myself that makes me feel amazing,surprise
i feel that they were just as surprised to be sharing my dream as i was to have them sharing it,surprise
i feel almost weird that someone i didnt know has impacted me emotionally these last few days,surprise
i like to do things that leave others feeling surprised and delighted,surprise
i lose friends because they apparently dont like that i tell people how i feel its funny how that works,surprise
i gotta say im feeling pretty impressed with how everything ended up considering my total dollars dropped totaled and i have three small canvases to play with display with,surprise
i have a plan with friends and a good support system of neighbors to keep me company but it still feels really weird,surprise
i remember feeling equally dazed and road rollered when the twins came home and that was with the pee and poo all neatly tied up in diapers,surprise
i do i feel very impressed with the one who made the story,surprise
im still feeling the effects today in that my body isnt particularly impressed by me at the moment and it feels a but stressed out trying to sort itself out,surprise
i feel like in a way i kinda shocked my body by changing my calorie intake,surprise
i have been feeling overwhelmed and time poor,surprise
im a creature of habit and major life changes always leave me feeling sort of dazed confused and occasionally sad and grumpy,surprise
i feel a bit overwhelmed in some areas so i may come off as whiney,surprise
i just feel a weird vibe,surprise
i shrugged not feeling particularly enthralled about the educational tour and feeling guilty that i would prefer to stay at home and play house,surprise
i talk to my real estate agent for some advice on how to proceed not that i feel she will offer much again im not too impressed with her,surprise
im feeling a bit overwhelmed tonight and not really for any good reason,surprise
i do remember the feel of the book and being incredibly impressed with it and knowing that ill have to read it again,surprise
i feel amazed how this sh it things happened to me,surprise
im lacking in the accessory department but i have a feeling that once i actually start putting the things i own in one place i might be a little more surprised at what i find,surprise
i have no idea if this is interesting for anybody to read but i found myself smiling like a fool laughing at some points and feeling overwhelmed with gratefulness,surprise
i feel that this is something i m curious about as someone who listens to current music but i realized that songs become weird and their unique vibe gets lost when non korean songs are translated into korean,surprise
i just be feeling curious about a few tings,surprise
i still feel amazed by its beauty diversity and joie de vivre,surprise
i did in fact feel very strange,surprise
i feeling strange energies,surprise
i feel a little funny discussing the realness of a portrayal of a condition ive never experienced,surprise
i haven t seen her since they broke up but now i m in this class and she is here waving at me so i go and sit next to her and get out my stuff and talk to her but i feel really strange about it because she cheated on my friend which i really should have mentioned before,surprise
i had a hard time focusing on my life and walked around feeling dazed and confused,surprise
i feel only a little bit weird about making decisions without him,surprise
i feel impressed to discuss sin again though i do not know why,surprise
i was feeling like a shocked rat in a skinner box experiment,surprise
i admire makes me feel amazed at my life,surprise
i just remember feeling so amazed that this little person and i am only a child was my new brother,surprise
i can remember i feel especially impressed to start fresh new and remove clutter,surprise
i feel surprised when i looked new,surprise
i dont want to put to much pressure on myself but i feel like i could make the most amazing year ever,surprise
i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today,surprise
i have also been feeling completely overwhelmed and so incredibly unappreciated,surprise
i will be honest it did feel a little strange being in the company of such greatness,surprise
i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance,surprise
i am just waking up with not nearly enough sleep and feeling dazed,surprise
i kept thinking about how awesome i would feel afterwards remembering how amazing i felt after my emotional spin class the previous night,surprise
i thought about it a lot this weekend because i watched the fault in our stars which is about two kids who have cancer so that made me feel really weird and anxious,surprise
i am feeling a little overwhelmed but ive been given some amazing tools met some wonderfully creative fun and crazy people and was reminded that i have a voice that has been silent for too long,surprise
i was mightily nervous given that i crashed and burned at this point last time and i still remember feeling shocked at how hard i found the x second runs,surprise
i feel like im getting there i have to admit i was stunned when i realized my list my entire laundry list of here to for impossible pie in the sky dreams,surprise
i did not feel any emotion or was deeply saddened or stunned for that matter,surprise
i accidentally feel the mood and jumped into blogspot then what surprised me was for over views lol,surprise
i remember looking out car windows as i was passengered around those first few months and feeling vaguely surprised as i was already deep in shock at how different things looked,surprise
i know that i will always feel a little bit strange and out of place in the academy,surprise
i feel weird knowing mine died when i wasn t around,surprise
i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny,surprise
i started feeling dazed,surprise
im feeling more than a little dazed,surprise
im not sure how i feel im shocked honestly,surprise
i say walking away and shaking my head feeling a little dazed to get the drinks,surprise
i still feel a little bit funny when i discover his fb damn it,surprise
i might go out of existance i smile pick up my pen and fill the page with the things that you say the thoughts you obtain the moments you refrain far away its cause youre going insane and suddenly im left afraid because im not feeling that way instead im amazed why you gotta be that way,surprise
i feel a little overwhelmed this weekend i went out to the beach and just stood in the surf watching listening and feeling the waves come in and out,surprise
i couldnt help but feel a little curious about it though which is what finally led me to plan to rent it this evening,surprise
i feel a bit surprised that motion capture films dont seem to me to have the visual richness and detail that full cgi films have,surprise
i feel funny cause bonka neva thanked me fa his awards,surprise
im feeling a little overwhelmed,surprise
i notice i jump when i feel anything in my hair which i cant say im surprised about,surprise
i think many may dislike it as i do and still feel they should be impressed by it the educated and privileged may now be more susceptible to the mass media than the larger public they re certainly easier to reach,surprise
ive suffered from eating disorders and depression since i was and i feel amazed to say that i consider myself recovered now,surprise
im beginning to feel my way around the systems and im very impressed with the overall level of automation and control that goes into making memset what it is,surprise
i feel when you should walk in to see the film you should be pleasantly surprised with the film s inherent connect,surprise
i still feel a bit stunned and i suppose i should be racked with regret and shame,surprise
i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily,surprise
i feel less weird about my premature graying that started,surprise
i feel shocked that my photo was chosen as the best photo of the week,surprise
i have no relief from my aches i am feeling just a tad overwhelmed by our current living situation and i am still unemployed and getting really really antsy about finding work,surprise
i would feel weird having my dads hand on my stomach for any amount of time especially for several minutes while he waits to feel taryn jumping around in there,surprise
i would say to mira i am feeling really curious about what its like to live in a castle and im looking it up on my computer,surprise
i am feeling a little overwhelmed like i do every year at this time at the speed each holiday season creeps up on us,surprise
im feeling amazing because im answering these questions from new york so life is good,surprise
i feel as if i am on hold somehow that ive been given a time for contemplation consolidation and it is a most curious feeling,surprise
i feel dazed and unsure of a world in which dying young and disasters that sacrifice so many lives in one swath happen let alone happen with frequency great enough to make me cringe,surprise
i stood kind of dumbfounded looking around feeling culture shocked,surprise
i feel an urgency to introduce readers to the amazing and touching story of anna iya and erik,surprise
i feel somewhat surprised when reading george hobica s discussion on usa today,surprise
i feel a remembrance of the strange by justin aryiku falls into the latter category,surprise
i start an aimless internet search when im feeling curious,surprise
i feel in retrospect if i have the ability to think back that all this history stuff and the miles upon miles of newsprint that has carried my feature articles impressed and impacted the readership the way it was intended,surprise
im feeling overwhelmed,surprise
i feel very shocked i have never expected that would happen to me,surprise
im still not sure why reilly feels the need to be so weird,surprise
i am feeling a bit overwhelmed tired anxious etc,surprise
i feel like falling in love with her is part of being amazed at how she makes our family so much better she tells the advocate,surprise
i am feeling amazed to see what god is doing new friends who aren t only amazing but get me who don t run and hide in a dark room unless i am there and they are joining me,surprise
i usually doubt my self at this point as i feel i should be that amazing housewife who motors all day and has a list of things they can tell theyre husband they did all day while they were at work and i was at home,surprise
i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,surprise
i feel so amazed seeing chiangmai,surprise
im not quite sure why and she treated me well but the entire time i was there i got this distinct feeling that she wasnt impressed,surprise
i admit to feeling bitterly surprised at how rapidly they have thrown in the towel,surprise
i remember frequently feeling surprised by the statistic that of the population are hsps given that i almost never came across anyone who was an hsp,surprise
i hope you keep handing out books of mormon to those you feel impressed to give them to,surprise
i bit my lip as he slightly whispered this will feel weird tell me if i hurt you,surprise
i get the feeling that i impressed ecker,surprise
i was a tad more jaded stopping the booth rep from reciting his memorized spiel by mentioning that i had been following the unit for a year but came away feeling pretty impressed,surprise
i have a curious feeling that benjamin button is the next forest gump curious case of benjamin button review a href http stayviolation,surprise
i feel that chris is not too impressed with my stuff so naturally i hate myself and want on the next plane back to seattle as soon before the showcase as possible,surprise
i just really feel so curious about whether you and dad have ever been bitten,surprise
i am not a catholic i certainly don t feel it is my place to take sides on this issue but i am curious how the leadership of the catholic church will mesh with its own people over these issues in the coming years,surprise
i will make you feel amazing tonight i need you no,surprise
i feel about it has me shocked,surprise
i just posted when i reached to someones facebook that i used to think as one of my best friends which makes me feel so shocked and frustrated,surprise
i remember last summer feeling so overwhelmed,surprise
i feel amazed to say that i am doing what i only dreamed of doing again,surprise
i do when i m feeling a bit weird to reground myself,surprise
i remember feeling shocked and somewhat embarrassed that the adf unity rite i was consecrated in was so much about me,surprise
i see lyman i just feel more and more amazed about us,surprise
i mean architectural wonders just make you feel wowed impressed and you just end up really respecting the people who built them but nature just makes you feel so much more aware of the world around you without actually actively doing anything because they were always there you know,surprise
i know so many people rave about it that i m feeling a bit weird,surprise
i was cut into feeling pain that shocked me,surprise
i am not desperate for a job and don t really feel impressed to go find a job because i have one img src http randythomas,surprise
i will tell ya i have been following a very norma inspired diet for a week tomorrow and i feel amazing,surprise
i feel quite surprised that i have a fairly significant amount of blog readers,surprise
im feeling awfully overwhelmed by everything right now the demands from mother the needs of my family trying to shield my dear husband from as much as possible the list goes on and on,surprise
i feel amazing doctor,surprise
i won t say that i didn t feel any fear because i did but i was surprised at how calm i was,surprise
i actually found myself resenting the song for making me feel which is weird for me because i used to play guitar and sing in church like all the time and music was a huge part of my life in college and high school,surprise
i had on my plate without the stress of feeling completely overwhelmed,surprise
i feel like i should admit to her how many times a week i make pasta for dinner and that i never make my bed at school so shes less impressed or something,surprise
i don t have the longevity or experience in the field to get a feeling for that and i m curious as to what the speculation might be,surprise
i even like to play with my negative feelings by becoming curious,surprise
im feeling is funny because its totally unnecessary,surprise
i sat down at the table for lunch after proclaiming how amazing i felt considering i started to feel weird,surprise
i am trying not to feel so overwhelmed with everything i am trying to make small steps,surprise
i feel shocked robbed and shaken of everything i thought i wanted,surprise
i was feeling amazing so i was disappointed when my lab work in december came back the same way it did the previous year overall it was good but i did not have enough protein in my diet,surprise
i may give up much sooner than my days if i feel like im gonna die but ive been curious for a while,surprise
i have stopped feeling surprised,surprise
i went to work but i feel stunned and numb,surprise
i feel strange pangs of loneliness or emptiness bubble up,surprise
i wonder why i feel surprised that things are different than i expected,surprise
i remembered seeing these pieces and feeling so impressed by them but seeing them again i was surprised i was blinded by my memories,surprise
i just feel curious of what my mission is to be,surprise
i feel a little funny about being so open and personal in my sandblog but if admitting all of this helps me achieve my wish than it s worth it,surprise
i often hear that i give a feeling like i m longer here and folks are surprised to hear that i m only years old hyphen,surprise
i found the art at the other side of all i feel very impressed with my work,surprise
i always feel a little weird writing about a guy ive dated because i dont want to do them an injustice or have them come across in a negative way,surprise
i feel weird tonight,surprise
i feel a strange sensation course through my limbs,surprise
i don t know how sasha fierce feels i m definitely curious about the future of beyonc s sound,surprise
i am feeling quite curious and concerned,surprise
i like the padding because it makes the ride more comfortable but it feels funny to walk in when not riding let alone what it looks like lol,surprise
i use vegetable glycerin in my oil cleansing mixture each night and my skin always feels amazing when i use glycerin,surprise
i think im getting the feeling that were the weird ones for using dryers most of the time,surprise
im more attracted to him because i feel that he knows that hes weird and being a weirdo myself i figure things might work out,surprise
i feel like this inside theres one thing i wanna know whats so funny bout peace love and understanding,surprise
i start to remember how desperately i felt when trying to get pregnant after feeling impressed to start having a family and soon finding that its not as easy as you think to just get pregnant,surprise
i feel ludicrous even thinking these things,surprise
i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that,surprise
i visit this brand for the first time i feel surprised there are so many accessaries at our website,surprise
i feel the most overwhelmed,surprise
i got the feeling that steve was impressed that bi was used in manufacturing and not only in finance as in the us,surprise
im feeling less impressed with the speech this morning than i was last night,surprise
i love they way they feel in my hand im sort of shocked i dont have some psycho fetish,surprise
i feel weird in the companies of those who approve and disapprove of dot com marriages,surprise
i feel so amazed with myself as i could stride nonstop for more than minutes,surprise
i kept waiting to feel the water and when i did i was surprised at the velocity i gained,surprise
i find myself feeling shocked hearing that word spoken out loud in my own lounge room,surprise
i think i deserve for once this freedom makes me feel amazing,surprise
i am feeling a bit overwhelmed here,surprise
i was feeling quite impressed with myself for taking just eight months to finish just the lyrics for one fairly simple though sufficiently tortured emo song,surprise
i am nowhere near finished but how much better do i feel its ludicrous,surprise
i feel developers should hear that people are really impressed with their work if they are,surprise
i still end up feeling a bit dazed from sheer sensory overload after spending an extended time in a very crowded area but today it wasnt too bad and the good company more than made up for it,surprise
im feeling a little impressed at their creativity,surprise
